id,tabla_afectada,accion,fecha,usuario,detalles
15,inventario,UPDATE,2023-05-11 21:08:45.513,sa,<row><id_inv>3</id_inv><id_prod>2</id_prod><fech_produc>0001-01-01</fech_produc><stok_pro>1</stok_pro><id_present>1</id_present><estado_inv>1</estado_inv></row><row><id_inv>3</id_inv><id_prod>2</id_prod><fech_produc>0001-01-01</fech_produc><stok_pro>3</stok_pro><id_present>1</id_present><estado_inv>1</estado_inv></row>
16,inventario,UPDATE,2023-05-11 21:08:45.527,sa,<row><id_inv>5</id_inv><id_prod>2</id_prod><fech_produc>2023-05-11</fech_produc><stok_pro>0</stok_pro><id_present>1</id_present><estado_inv>1</estado_inv></row><row><id_inv>5</id_inv><id_prod>2</id_prod><fech_produc>2023-05-11</fech_produc><stok_pro>2</stok_pro><id_present>1</id_present><estado_inv>1</estado_inv></row>
17,inventario,UPDATE,2023-05-11 21:08:45.527,sa,<row><id_inv>5</id_inv><id_prod>2</id_prod><fech_produc>2023-05-11</fech_produc><stok_pro>0</stok_pro><id_present>1</id_present><estado_inv>0</estado_inv></row><row><id_inv>5</id_inv><id_prod>2</id_prod><fech_produc>2023-05-11</fech_produc><stok_pro>0</stok_pro><id_present>1</id_present><estado_inv>1</estado_inv></row>
18,inventario,UPDATE,2023-05-11 21:08:48.150,sa,<row><id_inv>3</id_inv><id_prod>2</id_prod><fech_produc>0001-01-01</fech_produc><stok_pro>1</stok_pro><id_present>1</id_present><estado_inv>1</estado_inv></row><row><id_inv>3</id_inv><id_prod>2</id_prod><fech_produc>0001-01-01</fech_produc><stok_pro>1</stok_pro><id_present>1</id_present><estado_inv>1</estado_inv></row>
19,inventario,UPDATE,2023-05-11 21:15:02.827,conx,<row><id_inv>3</id_inv><id_prod>2</id_prod><fech_produc>2023-05-11</fech_produc><stok_pro>3</stok_pro><id_present>1</id_present><estado_inv>1</estado_inv></row><row><id_inv>3</id_inv><id_prod>2</id_prod><fech_produc>0001-01-01</fech_produc><stok_pro>1</stok_pro><id_present>1</id_present><estado_inv>1</estado_inv></row>
1010,clientes,INSERT,2023-05-12 23:08:48.920,conx,<row><id_cli>3</id_cli><dni_cli>10688233</dni_cli><ruc_cli>string     </ruc_cli><nom_cli>Karina</nom_cli><apat_cli>Huerta</apat_cli><amat_cli>Yanac</amat_cli><tel_cli>968133561</tel_cli><cor_cli>karinatania29@hotmail.com</cor_cli><dir_cli>psj.Las Dalias 125</dir_cli></row>
1011,clientes,UPDATE,2023-05-13 01:37:03.193,conx,<row><id_cli>3</id_cli><dni_cli>10688233</dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>Karina</nom_cli><apat_cli>Huerta</apat_cli><amat_cli>Yanac</amat_cli><tel_cli>968133561</tel_cli><cor_cli>karinatania29@hotmail.com</cor_cli><dir_cli>psj. Las Dalias 133</dir_cli></row><row><id_cli>3</id_cli><dni_cli>10688233</dni_cli><ruc_cli>string     </ruc_cli><nom_cli>Karina</nom_cli><apat_cli>Huerta</apat_cli><amat_cli>Yanac</amat_cli><tel_cli>968133561</tel_cli><cor_cli>karinatania29@hotmail.com</cor_cli><dir_cli>psj.Las Dalias 125</dir_cli></row>
1012,clientes,INSERT,2023-05-13 16:02:10.310,conx,<row><id_cli>4</id_cli><dni_cli>32546823</dni_cli><ruc_cli>13254682310</ruc_cli><nom_cli>Samuel Enrique</nom_cli><apat_cli>Sanchéz</apat_cli><amat_cli>Sanchéz</amat_cli><tel_cli>963524178</tel_cli><cor_cli>ssanchezs@hotmail.com</cor_cli><dir_cli>Villón Alto S/N</dir_cli></row>
1013,clientes,INSERT,2023-05-13 16:04:54.740,conx,<row><id_cli>5</id_cli><dni_cli>32546824</dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>Jorge Luis</nom_cli><apat_cli>Varillas</apat_cli><amat_cli>Muñóz</amat_cli><tel_cli>931889769</tel_cli><cor_cli>jvarillasm@unasam.edu.pe</cor_cli><dir_cli>Los Olivos S/N</dir_cli></row>
1014,clientes,INSERT,2023-05-13 16:05:40.040,conx,<row><id_cli>6</id_cli><dni_cli>test1   </dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>test</nom_cli><apat_cli>asda</apat_cli><amat_cli>adasd</amat_cli><tel_cli>asdasd   </tel_cli><cor_cli>sadasd@asdad.com</cor_cli><dir_cli>asdasdads</dir_cli></row>
1015,clientes,INSERT,2023-05-13 16:09:30.060,conx,<row><id_cli>7</id_cli><dni_cli>test2   </dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>asdasdadsadsas</nom_cli><apat_cli>adsadsadsaa</apat_cli><amat_cli>asadsdasaa</amat_cli><tel_cli>931889769</tel_cli><cor_cli>sadasd@asdad.com</cor_cli><dir_cli>asdasdads</dir_cli></row>
1016,clientes,INSERT,2023-05-13 16:17:11.787,conx,<row><id_cli>8</id_cli><dni_cli>test3   </dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>asdasdadsadsa</nom_cli><apat_cli>adsadsadsaaa</apat_cli><amat_cli>asadsdasa</amat_cli><tel_cli>963524178</tel_cli><cor_cli>sadasd@asdaad.com</cor_cli><dir_cli>asdasdadsa</dir_cli></row>
1017,clientes,INSERT,2023-05-13 16:23:44.833,conx,<row><id_cli>9</id_cli><dni_cli>test4   </dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>asdasdadsadsasa</nom_cli><apat_cli>adsadsadsaa</apat_cli><amat_cli>Muñóz</amat_cli><tel_cli>931889769</tel_cli><cor_cli>ssanchezs@hotmail.com</cor_cli><dir_cli>Los Olivos S/N</dir_cli></row>
1018,clientes,UPDATE,2023-05-13 23:02:23.010,conx,<row><id_cli>9</id_cli><dni_cli>test4   </dni_cli><ruc_cli>a          </ruc_cli><nom_cli>asdasdadsadsasa</nom_cli><apat_cli>adsadsadsaa</apat_cli><amat_cli>Muñóz</amat_cli><tel_cli>931889769</tel_cli><cor_cli>ssanchezs@hotmail.com</cor_cli><dir_cli>Los Olivos S/N</dir_cli></row><row><id_cli>9</id_cli><dni_cli>test4   </dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>asdasdadsadsasa</nom_cli><apat_cli>adsadsadsaa</apat_cli><amat_cli>Muñóz</amat_cli><tel_cli>931889769</tel_cli><cor_cli>ssanchezs@hotmail.com</cor_cli><dir_cli>Los Olivos S/N</dir_cli></row>
1019,clientes,DELETE,2023-05-13 23:05:17.293,WSbOLIVAR\Bolivar_2023,<row><id_cli>9</id_cli><dni_cli>test4   </dni_cli><ruc_cli>a          </ruc_cli><nom_cli>asdasdadsadsasa</nom_cli><apat_cli>adsadsadsaa</apat_cli><amat_cli>Muñóz</amat_cli><tel_cli>931889769</tel_cli><cor_cli>ssanchezs@hotmail.com</cor_cli><dir_cli>Los Olivos S/N</dir_cli></row><row><id_cli>8</id_cli><dni_cli>test3   </dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>asdasdadsadsa</nom_cli><apat_cli>adsadsadsaaa</apat_cli><amat_cli>asadsdasa</amat_cli><tel_cli>963524178</tel_cli><cor_cli>sadasd@asdaad.com</cor_cli><dir_cli>asdasdadsa</dir_cli></row><row><id_cli>7</id_cli><dni_cli>test2   </dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>asdasdadsadsas</nom_cli><apat_cli>adsadsadsaa</apat_cli><amat_cli>asadsdasaa</amat_cli><tel_cli>931889769</tel_cli><cor_cli>sadasd@asdad.com</cor_cli><dir_cli>asdasdads</dir_cli></row><row><id_cli>6</id_cli><dni_cli>test1   </dni_cli><ruc_cli>          &#x20;</ruc_cli><nom_cli>test</nom_cli><apat_cli>asda</apat_cli><amat_cli>adasd</amat_cli><tel_cli>asdasd   </tel_cli><cor_cli>sadasd@asdad.com</cor_cli><dir_cli>asdasdads</dir_cli></row>
1020,Producto,INSERT,2023-05-14 21:53:44.890,conx,<row><id_prod>3</id_prod><nom_prod>Torta Helada</nom_prod><id_tip_pro>1</id_tip_pro><precio_prod>30.0</precio_prod><dur_prod>7</dur_prod></row>
1021,Producto,INSERT,2023-05-14 22:01:30.783,conx,<row><id_prod>4</id_prod><nom_prod>Torta Helada</nom_prod><id_tip_pro>1</id_tip_pro><precio_prod>30.0</precio_prod><dur_prod>8</dur_prod></row>
1022,Producto,INSERT,2023-05-14 22:12:36.423,conx,<row><id_prod>5</id_prod><nom_prod>CheeseCake</nom_prod><id_tip_pro>2</id_tip_pro><precio_prod>25.5</precio_prod><dur_prod>7</dur_prod></row>
1023,Producto,DELETE,2023-05-14 22:20:44.430,conx,<row><id_prod>4</id_prod><nom_prod>Torta Helada</nom_prod><id_tip_pro>1</id_tip_pro><precio_prod>30.0</precio_prod><dur_prod>8</dur_prod></row>
1024,Producto,DELETE,2023-05-14 22:20:48.027,conx,<row><id_prod>3</id_prod><nom_prod>Torta Helada</nom_prod><id_tip_pro>1</id_tip_pro><precio_prod>30.0</precio_prod><dur_prod>7</dur_prod></row>
1025,Producto,INSERT,2023-05-14 22:25:47.333,conx,<row><id_prod>6</id_prod><nom_prod>Selva Negra</nom_prod><id_tip_pro>1</id_tip_pro><precio_prod>45.0</precio_prod><dur_prod>10</dur_prod></row>
1026,Producto,INSERT,2023-05-14 22:26:37.263,conx,<row><id_prod>7</id_prod><nom_prod>Torta 3 leches</nom_prod><id_tip_pro>1</id_tip_pro><precio_prod>60.0</precio_prod><dur_prod>5</dur_prod></row>
1027,Producto,INSERT,2023-05-14 22:27:57.610,conx,<row><id_prod>8</id_prod><nom_prod>Leche Asada</nom_prod><id_tip_pro>2</id_tip_pro><precio_prod>5.0</precio_prod><dur_prod>9</dur_prod></row>
1028,Producto,DELETE,2023-05-15 16:15:10.360,conx,<row><id_prod>7</id_prod><nom_prod>Torta 3 leches</nom_prod><id_tip_pro>1</id_tip_pro><precio_prod>60.0</precio_prod><dur_prod>5</dur_prod></row>
1029,Producto,DELETE,2023-05-15 16:15:16.170,conx,<row><id_prod>8</id_prod><nom_prod>Leche Asada</nom_prod><id_tip_pro>2</id_tip_pro><precio_prod>5.0</precio_prod><dur_prod>9</dur_prod></row>
